id,surface,context_state,source_file,current_text,dynamic,risk_level,notes
STR-001,World / Station map,static title,design/opendesign-exploration/station/index.html:13,The Observation Deck — Personal Worlds,no,P1,"High-trust inconsistency, prototype leakage, or destructive-scope ambiguity."
STR-002,World / Station map,static a,design/opendesign-exploration/station/index.html:39,Skip to main content,no,P3,No urgent problem found; retain or polish during the normal content pass.
STR-003,World / Station map,static a,design/opendesign-exploration/station/index.html:49,Personal Worlds,no,P1,"High-trust inconsistency, prototype leakage, or destructive-scope ambiguity."
STR-004,World / Station map,nav aria-label,design/opendesign-exploration/station/index.html:50,Primary,no,P3,No urgent problem found; retain or polish during the normal content pass.
STR-005,World / Station map,static a,design/opendesign-exploration/station/index.html:51,World,no,P3,No urgent problem found; retain or polish during the normal content pass.
STR-006,World / Station map,static a,design/opendesign-exploration/station/index.html:52,Interests,no,P3,No urgent problem found; retain or polish during the normal content pass.
STR-007,World / Station map,static a,design/opendesign-exploration/station/index.html:53,Journal,no,P3,No urgent problem found; retain or polish during the normal content pass.
STR-008,World / Station map,static a,design/opendesign-exploration/station/index.html:54,Projects,no,P3,No urgent problem found; retain or polish during the normal content pass.
STR-009,World / Station map,static a,design/opendesign-exploration/station/index.html:55,Chat,no,P3,No urgent problem found; retain or polish during the normal content pass.
STR-010,World / Station map,static a,design/opendesign-exploration/station/index.html:56,Settings,no,P3,No urgent problem found; retain or polish during the normal content pass.
STR-011,World / Station map,static span,design/opendesign-exploration/station/index.html:65,Observation Deck,no,P3,No urgent problem found; retain or polish during the normal content pass.
STR-012,World / Station map,static h1,design/opendesign-exploration/station/index.html:66,The systems map,no,P3,No urgent problem found; retain or polish during the normal content pass.
STR-013,World / Station map,static p,design/opendesign-exploration/station/index.html:68,"Seven little worlds, quietly orbiting. Drift toward anything and it opens up for you. ✦",no,P3,No urgent problem found; retain or polish during the normal content pass.
STR-014,World / Station map,section aria-label,design/opendesign-exploration/station/index.html:74,Only what needs you,no,P3,No urgent problem found; retain or polish during the normal content pass.
STR-015,World / Station map,static p,design/opendesign-exploration/station/index.html:80,"Your world is all still here, exactly where you left it. Whenever you are ready, the map is waiting.",no,P3,No urgent problem found; retain or polish during the normal content pass.
STR-016,World / Station map,static button,design/opendesign-exploration/station/index.html:84,Show me my world ✦,no,P3,No urgent problem found; retain or polish during the normal content pass.
STR-017,World / Station map,static h2,design/opendesign-exploration/station/index.html:91,Needs you,no,P3,No urgent problem found; retain or polish during the normal content pass.
STR-018,World / Station map,section aria-label,design/opendesign-exploration/station/index.html:100,Map of your world,no,P3,No urgent problem found; retain or polish during the normal content pass.
STR-019,World / Station map,div aria-label,design/opendesign-exploration/station/index.html:101,Where you are in the map,no,P3,No urgent problem found; retain or polish during the normal content pass.
STR-020,World / Station map,div aria-label,design/opendesign-exploration/station/index.html:102,Systems map. Use the buttons to move toward a region.,no,P3,No urgent problem found; retain or polish during the normal content pass.
STR-021,World / Station map,static p,design/opendesign-exploration/station/index.html:106,"A world that has grown a little and wears a soft ring has things inside asking for you — the same number is always written in words, so nothing relies on size or colour alone. Hover or focus a world and a little companion might peek out. That is just for fun. ✦",no,P3,No urgent problem found; retain or polish during the normal content pass.
STR-022,World / Station map,static summary,design/opendesign-exploration/station/index.html:115,Shape this map,no,P3,No urgent problem found; retain or polish during the normal content pass.
STR-023,World / Station map,static summary,design/opendesign-exploration/station/index.html:126,technical · status vocabulary & sources,no,P3,No urgent problem found; retain or polish during the normal content pass.
STR-024,Chat,static title,design/opendesign-exploration/station/chat.html:12,Talk — Personal Worlds,no,P1,"High-trust inconsistency, prototype leakage, or destructive-scope ambiguity."
STR-025,Chat,static a,design/opendesign-exploration/station/chat.html:20,Skip to main content,no,P3,No urgent problem found; retain or polish during the normal content pass.
STR-026,Chat,static a,design/opendesign-exploration/station/chat.html:27,Personal Worlds,no,P1,"High-trust inconsistency, prototype leakage, or destructive-scope ambiguity."
STR-027,Chat,nav aria-label,design/opendesign-exploration/station/chat.html:28,Primary,no,P3,No urgent problem found; retain or polish during the normal content pass.
STR-028,Chat,static a,design/opendesign-exploration/station/chat.html:29,World,no,P3,No urgent problem found; retain or polish during the normal content pass.
STR-029,Chat,static a,design/opendesign-exploration/station/chat.html:30,Interests,no,P3,No urgent problem found; retain or polish during the normal content pass.
STR-030,Chat,static a,design/opendesign-exploration/station/chat.html:31,Journal,no,P3,No urgent problem found; retain or polish during the normal content pass.
STR-031,Chat,static a,design/opendesign-exploration/station/chat.html:32,Projects,no,P3,No urgent problem found; retain or polish during the normal content pass.
STR-032,Chat,static a,design/opendesign-exploration/station/chat.html:33,Chat,no,P3,No urgent problem found; retain or polish during the normal content pass.
STR-033,Chat,static a,design/opendesign-exploration/station/chat.html:34,Settings,no,P3,No urgent problem found; retain or polish during the normal content pass.
